                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 2.0805,                 1.5912,                 1.0996,                 0.1814,                0.18923,                0.12348,                0.03932,                 2.4807,                 2.3838,                  1.283,              0.0098218,              0.0098218,              0.0098218
                     92,                 2.0616,                 1.5651,                 1.0945,                 0.2173,                0.19453,                0.11653,                0.03551,                 2.5182,                 2.4002,                 1.3048,              0.0098198,              0.0098198,              0.0098198
                     93,                 2.0429,                 1.5353,                 1.0938,                0.15806,                0.20617,                0.11709,                0.03819,                 2.5313,                 2.3123,                 1.3022,              0.0098178,              0.0098178,              0.0098178
                     94,                 2.0612,                 1.5277,                 1.0985,                0.18936,                0.20748,                0.12177,                0.03971,                  2.528,                 2.3323,                 1.2974,              0.0098159,              0.0098159,              0.0098159
                     95,                 2.0597,                  1.522,                 1.1026,                0.18244,                0.21476,                0.13655,                0.04323,                 2.4893,                 2.4257,                 1.2838,              0.0098139,              0.0098139,              0.0098139
                     96,                 2.0529,                 1.5706,                 1.0935,                0.22388,                0.19319,                0.12889,                0.04244,                 2.5162,                 2.3593,                 1.2921,              0.0098119,              0.0098119,              0.0098119
                     97,                 2.0532,                 1.5652,                 1.1023,                0.17076,                0.19882,                0.11806,                0.03862,                 2.5386,                 2.3877,                 1.2983,              0.0098099,              0.0098099,              0.0098099
                     98,                 2.0685,                 1.5898,                 1.0902,                0.16282,                0.19606,                 0.1125,                0.03572,                 2.4769,                 2.4639,                 1.2853,              0.0098079,              0.0098079,              0.0098079
                     99,                 2.0356,                 1.5217,                 1.0837,                  0.132,                0.21553,                0.11251,                0.03476,                 2.5206,                 2.5957,                  1.313,               0.009806,               0.009806,               0.009806
                    100,                 2.0406,                 1.5022,                 1.0897,                0.19394,                0.20756,                0.12238,                0.04105,                 2.5138,                 2.3689,                 1.3018,               0.009804,               0.009804,               0.009804
                    101,                 2.0281,                 1.5138,                 1.0924,                0.17367,                0.19181,                0.11125,                0.03376,                 2.5849,                  2.448,                 1.3011,               0.009802,               0.009802,               0.009802
                    102,                 2.0399,                 1.5186,                 1.0862,                0.25968,                0.16256,                0.12585,                0.03974,                 2.5074,                 2.4098,                 1.3079,                 0.0098,                 0.0098,                 0.0098
                    103,                 2.0437,                 1.5005,                 1.0908,                 0.1974,                0.18444,                0.11504,                0.03538,                 2.5607,                 2.4417,                  1.317,               0.009798,               0.009798,               0.009798
                    104,                 2.0387,                 1.5086,                  1.092,                0.20551,                0.20417,                0.11476,                0.03445,                 2.5998,                 2.3784,                 1.3216,              0.0097961,              0.0097961,              0.0097961
                    105,                 1.9963,                 1.4895,                 1.0724,                0.15729,                0.20191,                0.11374,                0.03747,                 2.5209,                 2.3188,                 1.3068,              0.0097941,              0.0097941,              0.0097941
                    106,                 2.0246,                 1.4697,                 1.0725,                0.16888,                0.18504,                  0.118,                 0.0389,                 2.5569,                 2.3398,                 1.3117,              0.0097921,              0.0097921,              0.0097921
