                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 2.1865,                 1.7614,                  1.126,                0.15008,                0.19864,                0.11013,                0.03525,                 2.4778,                 2.4493,                 1.2779,              0.0008185,              0.0008185,              0.0008185
                     57,                 2.1381,                 1.7119,                 1.1213,                0.15261,                0.21077,                0.11326,                0.03736,                 2.5158,                 2.4462,                 1.2986,              0.0008152,              0.0008152,              0.0008152
                     58,                 2.1687,                 1.7551,                 1.1237,                0.19389,                0.21617,                0.11525,                0.03673,                 2.4447,                 2.3818,                 1.2505,              0.0008119,              0.0008119,              0.0008119
                     59,                 2.1505,                 1.7255,                 1.1337,                0.17509,                0.25296,                0.13266,                0.04424,                 2.4123,                 2.3358,                 1.2513,              0.0008086,              0.0008086,              0.0008086
                     60,                 2.1519,                 1.7037,                 1.1204,                0.20242,                0.16723,                0.11739,                0.04031,                  2.396,                 2.4034,                 1.2478,              0.0008053,              0.0008053,              0.0008053
                     61,                 2.1432,                 1.7206,                 1.1127,                0.19607,                0.22325,                0.14135,                0.04769,                 2.4078,                 2.3271,                 1.2423,               0.000802,               0.000802,               0.000802
                     62,                 2.1296,                  1.695,                  1.108,                0.20414,                0.18324,                0.12777,                0.04194,                 2.4827,                 2.3776,                 1.2747,              0.0007987,              0.0007987,              0.0007987
                     63,                 2.1302,                 1.6912,                 1.1216,                0.17189,                0.19967,                0.12257,                0.03945,                 2.4263,                 2.3636,                 1.2682,              0.0007954,              0.0007954,              0.0007954
                     64,                 2.1152,                 1.6764,                 1.1192,                0.20566,                0.23503,                0.14071,                0.04573,                  2.451,                 2.2817,                 1.2918,              0.0007921,              0.0007921,              0.0007921
                     65,                 2.1093,                 1.6419,                 1.1061,                0.17867,                0.20347,                0.11411,                0.03592,                 2.4694,                 2.5029,                 1.2638,              0.0007888,              0.0007888,              0.0007888
                     66,                 2.1207,                 1.6799,                 1.1155,                0.20024,                0.20785,                0.11853,                0.03885,                 2.4096,                 2.4912,                  1.267,              0.0007855,              0.0007855,              0.0007855
                     67,                 2.1025,                 1.6404,                 1.1082,                0.23974,                0.16894,                0.12793,                0.04204,                 2.4397,                 2.3639,                 1.2743,              0.0007822,              0.0007822,              0.0007822
                     68,                 2.1125,                 1.6552,                 1.1145,                  0.201,                0.21874,                0.12558,                0.04168,                 2.3883,                  2.394,                 1.2395,              0.0007789,              0.0007789,              0.0007789
                     69,                 2.1022,                 1.6405,                 1.1158,                0.20116,                0.23692,                0.13263,                0.04308,                  2.456,                 2.3405,                 1.2774,              0.0007756,              0.0007756,              0.0007756
                     70,                 2.0876,                 1.6297,                 1.1049,                0.21073,                0.21643,                0.12705,                0.03831,                 2.4853,                 2.3915,                 1.2998,              0.0007723,              0.0007723,              0.0007723
                     71,                 2.0726,                 1.5563,                 1.0974,                0.20934,                 0.2205,                0.13129,                0.04175,                 2.4352,                  2.336,                 1.2488,               0.000769,               0.000769,               0.000769
                     72,                 2.0677,                  1.603,                  1.101,                0.18017,                0.24907,                0.12228,                0.03961,                 2.4486,                 2.5014,                 1.2742,              0.0007657,              0.0007657,              0.0007657
                     73,                 2.0738,                 1.5796,                  1.105,                0.13406,                0.23627,                0.11256,                0.03534,                 2.4685,                 2.3841,                 1.2895,              0.0007624,              0.0007624,              0.0007624
                     74,                  2.096,                 1.5864,                 1.0977,                0.19833,                0.19229,                0.12198,                0.03613,                 2.4795,                  2.416,                 1.2864,              0.0007591,              0.0007591,              0.0007591
                     75,                 2.0363,                 1.5287,                 1.0931,                0.16022,                 0.1951,                0.10931,                0.03372,                 2.5157,                  2.437,                 1.2754,              0.0007558,              0.0007558,              0.0007558
                     76,                 2.0603,                 1.5612,                 1.0908,                0.16038,                0.23048,                0.11575,                0.03679,                 2.5104,                 2.4391,                 1.2975,              0.0007525,              0.0007525,              0.0007525
                     77,                 2.0554,                 1.5666,                 1.0914,                0.18775,                0.21251,                0.12134,                0.03865,                 2.4757,                 2.4619,                 1.2947,              0.0007492,              0.0007492,              0.0007492
                     78,                 2.0412,                 1.5381,                 1.0872,                0.22386,                0.19572,                0.13333,                0.04317,                 2.4594,                 2.3513,                 1.2656,              0.0007459,              0.0007459,              0.0007459
                     79,                 2.0418,                 1.5338,                 1.0965,                0.23957,                0.17734,                0.12238,                0.04068,                 2.5198,                 2.5318,                 1.2998,              0.0007426,              0.0007426,              0.0007426
                     80,                 2.0244,                 1.5396,                 1.0763,                0.20224,                 0.2099,                0.12608,                0.04165,                 2.4352,                 2.4393,                 1.2724,              0.0007393,              0.0007393,              0.0007393
                     81,                 2.0311,                 1.5173,                 1.0746,                0.15606,                0.21168,                0.11755,                0.03725,                 2.4836,                  2.412,                 1.2839,               0.000736,               0.000736,               0.000736
                     82,                 2.0147,                 1.5012,                 1.0843,                0.17098,                0.20282,                0.12333,                0.03923,                 2.5029,                 2.4233,                 1.2903,              0.0007327,              0.0007327,              0.0007327
                     83,                 2.0068,                  1.497,                 1.0803,                0.20037,                0.19213,                0.11145,                0.03641,                  2.496,                 2.5209,                 1.2793,              0.0007294,              0.0007294,              0.0007294
                     84,                 2.0333,                    1.5,                 1.0767,                0.16683,                0.17977,                0.10989,                0.03758,                 2.5064,                 2.4788,                 1.3149,              0.0007261,              0.0007261,              0.0007261
                     85,                 2.0065,                 1.4755,                 1.0837,                0.17077,                0.19686,                0.12026,                0.03759,                 2.4987,                 2.4468,                 1.2784,              0.0007228,              0.0007228,              0.0007228
                     86,                 2.0044,                 1.4789,                 1.0732,                0.21616,                0.18379,                0.12672,                0.04276,                 2.5006,                 2.3867,                  1.319,              0.0007195,              0.0007195,              0.0007195
                     87,                 2.0085,                 1.4863,                 1.0712,                0.18593,                0.23694,                0.11923,                0.03605,                 2.5549,                 2.4047,                 1.3033,              0.0007162,              0.0007162,              0.0007162
                     88,                 1.9927,                 1.4669,                 1.0861,                0.16213,                0.20026,                0.11512,                0.03616,                 2.5441,                 2.4249,                  1.316,              0.0007129,              0.0007129,              0.0007129
                     89,                 1.9822,                 1.4628,                 1.0674,                0.14825,                0.24099,                0.11932,                 0.0366,                 2.5394,                 2.3926,                 1.3097,              0.0007096,              0.0007096,              0.0007096
